objectid,title,translated_title,type,display_template,language,creator,description,date,subject,committee_member,object_location,source,rights,thesis_degree,thesis_degree_level,thesis_degree_discipline,thesis_degree_grantor
etd_0011,Developing an Arabic Typography Course for Visual Communication Design Students in the Middle East and North African Region,,Master's Thesis,pdf,en,Basma Almusallam,,2014,Visual communication; Graphic arts—Social aspects; Graphic design (Typography),Jillian Coorey (Advisor); AnnMarie LeBlanc; Stanley T. Wearden,https://etd.ohiolink.edu/acprod/odb_etd/ws/send_file/send?accession=kent1397011962&disposition=inline,,,Master of Fine Arts,Masters,Visual Communication Design,Kent State University
etd_0012,A Study on the Visual and Verbal Languages of Typography,,Master's Thesis,pdf,en,Ellyn Duncan,"It takes a person 0.05 seconds to form a first impression of something new. While first impressions are quick and surface level, they are generally important in the lasting impression developed by the individual. I believe graphic designers have the ability to manipulate the first impression of their work by using the different languages of typography to command the attention of an audience and direct a planned impression. Through the testing and research of this thesis study, I aim to provide examples of how people share common responses and interpretations of visual elements and show that the visual and verbal languages of typography can affect the first impressions of a particular design.",2020,Graphic design (Typography); Visual communication; Graphic arts—Social aspects,Jason Murdock; Celine Manoosingh; Bradley Sturz,https://digitalcommons.georgiasouthern.edu/cgi/viewcontent.cgi?article=3337&context=etd,Georgia Southern Commons,© 2020 Ellyn Duncan,Master of Fine Arts,Masters,Fine Arts,Georgia Southern University
etd_0013,Typeface design for a Thai context: An English typface with Thai stylistic considerations,,Master's Thesis,pdf,en,Napawan Sawasdichai,,1999,Graphic design (Typography); Visual communication,Deborah A. Beardslee (Chief Advisor); Bruce Ian Meader (Associate Advisor); Marie Freckleton (Associate Advisor); Nancy Ciolek (School of Design Chairperson),https://repository.rit.edu/cgi/viewcontent.cgi?article=5742&context=theses,RIT Digital Institutional Repository,,Master of Fine Arts,Masters,Graphic Design,Rochester Institute of Technology
etd_0014,Fetishising language: typography and postfeminism in late capitalism,,Master's Thesis,pdf,en,Manuela (Ella) Louise Egidy,"The mechanical embodiment of language, typography is always a re-presentation, form
whose meaning is acquired through preconceptions and prior understandings; its
overwhelming physical presence is pervasive. If language, to some degree, is involved in the
formation of the subject, I aim to demonstrate the role typography plays in the formation and
re-formation of subjectivities within the realm of consumption in late-capitalist societies.
This research emphasises Marxist feminist standpoints in order to study typography
in its commodity form. Undertaking a critical analysis of typography and the context in which
it has been marketed and sold, I intend to problematise the fetishisation of language and
interrogate its sociomaterial relations as expressions of commodity feminism within a
postfeminist landscape. This thesis takes as its object of study not only the letterforms in
question, but also the conditions in which they are produced, as well as the assumed
intentions of the producers. A distinct focus on typography is necessary to understand the
ways in which one’s constitution is shaped through messaging received in a commodified
environment. Further to the image of the letterform this research also studies the materials
deployed to give these letters form, specifically within a visual merchandising environment,
to understand how these materials further intensify the message. In highlighting the
performative gestures of typography and language through a critical study, this research
aims to situate contemporary typographic practice within a broader field of cultural critique",2021,Graphic design (Typography); Socialist feminism; Capitalism and mass media,Cathy Greenfield (Supervisor); Brad Haylock (Supervisor),https://research-repository.rmit.edu.au/ndownloader/files/50764833,,,Master of Design,Masters,Design and Social Context,RMIT University
etd_0015,Tipografía y jazz : la relación visual entre las portadas de discos de jazz y sus subgéneros : un análisis exploratorio y descriptivo de los tipos de letra utilizados en las portadas de discos de jazz y su correspondencia con sus subgéneros,,Bachelor's Thesis,pdf,es; en,Diego Alberto González Martinez,"Este estudio analiza la correspondencia entre las características morfológicas y estilísticas de los tipos de letras utilizados en las portadas de discos de jazz y las principales cualidades sonoras y culturales de sus subgéneros musicales. Se adoptó un enfoque exploratorio y descriptivo que abarcó el análisis de portadas representativas de siete subgéneros: Swing, Bebop, Hard Bop, Cool Jazz, Free Jazz, Jazz Fusión y Smooth Jazz. Cada subgénero fue conceptualizado mediante la identificación de tres características clave, derivadas de una revisión de literatura especializada y fuentes oficiales, que describen sus atributos sonoros y emocionales. Estas características fueron contrastadas con elementos tipográficos como morfología, peso, estilo y contexto histórico, evaluando si las decisiones visuales reflejan las particularidades culturales y estilísticas de cada subgénero. La metodología incluyó una revisión bibliográfica, análisis visual de portadas y categorización de patrones tipográficos en relación con atributos sonoros específicos. Los resultados revelan una ausencia de correlación directa entre las tipografías y los subgéneros, lo que sugiere una desconexión entre la identidad visual y sonora del jazz. Este hallazgo destaca la influencia de tendencias históricas y culturales amplias en las elecciones tipográficas, en lugar de una representación específica de cada estilo musical. El estudio concluye subrayando la importancia de un enfoque más consciente en el diseño tipográfico para reforzar la narrativa visual y cultural del jazz, promoviendo una representación gráfica más coherente con sus múltiples subgéneros.",2024,Graphic design (Typography); Visual communication; Jazz,Roberto Osses (Profesor Guía),https://repositorio.uchile.cl/bitstream/handle/2250/202816/tipografia-y-jazz.pdf?sequence=1&isAllowed=y,,,Licenciado en Diseño,Bachelors,Diseño,Universidad de Chile
etd_0016,Architecture and Typography: The Space Beyond the Text,,Master's Thesis,pdf,en,Adam Mackenzie Smith,"This thesis considers the design of a combined industrial printing and publishing house as a semi-public institution. The site is in Halifax, Nova Scotia. The institution includes a bookstore, archive, studio, book conservation facility, and guest rooms, in addition to printing and publishing. Research included relevant literature, an applied course in typography, and a working visit to Gaspereau Press. The way program elements are brought together and overlap relates to the formal strategies of spatial organization in typography. The design as a setting for human activity relates to the relationship between text and content in the activity of reading. The simultaneous presence of the practical and the creative in the practice of architectural design is also explored in relation to typographic practice. The intention is to clarify both the object of design and the practice of design in comparison to both aspects in typography. This then further clarifi es the relation of the program to the built work.",2011,Graphic design (Typography); Architecture; Space (Architecture),,https://dalspace.library.dal.ca/bitstream/handle/10222/13369/Smith_Adam_MArch_ARCH_Apr_2011.pdf?sequence=5&isAllowed=y,,"© Copyright by Adam Mackenzie Smith, 2011",Master of Architecture,Masters,Architecture,Dalhousie University
etd_0017,Typographic emphasis of headings: Methods of typographic emphasis to assist with search of unfamiliar and familiar text,,Doctoral Dissertation,pdf,en,Claire Timpany,"Readers use headings to understand the structure and content of a text, and to locate information. Readers understand the structure of a text by building an understanding of the structure of the content through developing relationships between the sections of content. Headings assist readers with both their comprehension of text as well as assisting them with recall of the content. Headings provide signals to readers to aid navigation of a document by indicating the structure of topics. This helps readers locate information either by signalling unfamiliar content or by providing markers that support recall of where information appears in a familiar text. The importance of headings is known; however, little research exists to indicate how these organisational features should be presented visually. This research was undertaken to address that gap in understanding. Five studies were carried out to investigate which heading emphasis methods are most easily identified within a passage of text and which methods best assist readers when searching through text. An initial survey of current practice showed six main methods for emphasising headings, often used in combination to create stronger emphasis. The survey also revealed that the same publication frequently presents headings inconsistently across print and digital formats. These findings helped determine which emphasis methods were included in the paired comparison studies. Three paired comparison studies were then conducted to establish which typographic emphasis methods are most easily identified within a passage of text. Seven individual emphasis methods were compared in print and on screen, followed by comparisons of five combined emphasis methods in both media. These studies found that methods with the greatest visual weight were most easily identified. The most easily identifiable heading styles were then evaluated in search tasks to determine which of four heading styles offered the most help when readers searched for answers in screen-based text. The research showed that headings created by combining two emphasis methods are more distinct from the surrounding body text. These clearer headings are more useful when readers search for information, whether the text is new to them or already familiar. When bold is paired with either increased size or a sans serif typeface, readers are able to locate information more quickly and accurately, regardless of their familiarity with the document.",2018,Visual communication; Layout (Printing); Graphic arts,Dr. Sally Jo Cunningham (Chief Supervisor); Dr. Lyn Hunt (Second Supervisor),https://researchcommons.waikato.ac.nz/bitstream/handle/10289/12091/thesis.pdf?sequence=4&isAllowed=y,Research Commons at the University of Waikato,"Copyright Statement: The digital copy of this thesis is protected by the Copyright Act 1994 (New Zealand). The thesis may be consulted by you, provided you comply with the provisions of the Act and the following conditions of use: Any use you make of these documents or images must be for research or private study purposes only, and you may not make them available to any other person. Authors control the copyright of their thesis. You will recognise the author’s right to be identified as the author of the thesis, and due acknowledgement will be made to the author where appropriate.You will obtain the author’s permission before publishing any material from the thesis.",Doctor of Philosophy in Computer Science,Doctorate,Computer Science,University of Waikato
etd_0018,"On the origin of patterning in movable Latin type : Renaissance standardisation, systematisation, and unitisation of textura and roman type",,Doctoral Dissertation,pdf,nl; en,F.E. Blokland,,2016,Graphic design (Typography); Roman type; Printing--Italy--History--Origin and antecedents,C.J.J.M. Stolker; Adriaan van der Weel; Frans de Ruiter; Yra van Dijk; Paul HoFijzer; Roy Millington; Bert Willems,https://scholarlypublications.universiteitleiden.nl/access/item%3A2915023/view,University of Leiden,Licence agreement concerning inclusion of doctoral thesis in the Institutional Repository of the University of Leiden,de graad van Doctor,Doctorate,,Universiteit Leiden
etd_0019,Tipografia como elemento arquitetônico no Art Déco paulistano: uma investigação acerca do papel da tipografia como elemento ornamental e comunicativo na arquitetura da cidade de São Paulo entre os anos de 1928 a 1954,Typography as an architectural element in São Paulo's Art Deco: an investigation into the role of typography as an ornamental and communicative element in the architecture of the city of São Paulo between 1928 and 1954.,Doctoral Dissertation,pdf,pt,José Roberto D'Elboux,"A dissertação tem como objetivo aprofundar o conhecimento sobre o uso da tipografia como elemento arquitetônico na cidade de São Paulo, particularmente em edificações de estilo Art Déco, de 1928 a 1954, demonstrando como a tipografia arquitetônica estabeleceu uma nova relação, não apenas limitada ao edifício em si, mas também com a paisagem urbana e seus habitantes, acompanhando os avanços das relações comerciais, da indústria da informação e do entretenimento durante esse período. A partir da seleção de uma amostra significativa de exemplares de tipografias arquitetônicas nominativas, foi desenvolvida uma série de análises, através de um embasamento teórico, fornecido por uma ampla revisão bibliográfica. Como resultado, foi possível verificar que o estilo Art Déco, de grande penetração na arquitetura da cidade de São Paulo no período estudado, se valeu da tipografia de uma maneira particular, conseguindo com isso promover em várias ocasiões uma relação integral dela com a arquitetura. Também foram encontrados indícios de que a reprodução de um determinado desenho de letra, presente em várias edificações no centro da cidade, pode ter se originado a partir de sua utilização no edifício do antigo Banco de São Paulo. Outros indícios apontam ainda para o possível surgimento desse desenho de letra, a partir da instrumentalização do alfabeto escrito manualmente, utilizado nas pranchas dos projetos desenvolvidos pelo escritório do arquiteto Álvaro Botelho, autor do Edifício Banco de São Paulo.",2013,Graphic design (Typography); Art deco (Architecture); Architecture--Brazil--São Paulo--History--20th century,Priscila Lena Farias (Orientador),https://www.teses.usp.br/teses/disponiveis/16/16134/tde-10092013-093443/publico/DELBOUX_J_R_ME.pdf,,"Autorizo a reproucao divulgacao total ou parcial deste trabalho, por qualquer meio convencional ou electronico, para fins de estudo e pesquisa, desde que citada a fonte.",Mestre em Arquitectura e Urbanismo,Masters,Arquitectura e Urbanismo,Universidade de São Paulo
etd_0020,"Letterforms, cultural forms : the interplay between graphic design, western culture and communications technologies since mid-century",,Master's Thesis,pdf,en,Stephanie Zelman,"Beginning with an understanding ofthe aesthetic and idealism of modem design, this thesis discusses the interrelationship betWeen culture, teehnology and graphie design since mid-century. A review of the rise of posanodem critique, particularly as expressed through digital technologies, demonstrates how cultural shifts and developing communications technologies work in tandem ta influence the emergence of visual systems. By revealing several underlying premises of modemity. it is shawn that the linearity of modem design is a biased and limited theory of vision. This argument is reinforced by contrasting the modem conception of direct communication with alternative design praetices that encourage readers ta play a more active role in the inœrpretation of a message. However, the thesis ultimately retums to the fundamental principles of modemism ta suggest that certain tenets of modemist thought should net be jettisoned 50 quicldy. simply because digitization encourages open-ended viewing experiences.",1999,Graphic arts—Social aspects; Visual communication; Modernism (Art)--Influence,Will Straw (Supervisor),https://escholarship.mcgill.ca/downloads/cj82k913f.pdf,ProQuest Information and Leaming,"The author bas granted a 000-exclusive licence allowing the National Library ofCanada to reproduce, loan, distnbute or sell copies ofthis thesis in microform, paper or electronic formats. The author retains ownership ofthe copyright in this thesis. Neither the thesis nor substantial extracts from it may be printed or otherwise reproduced without the author's permission.",Graduate Program in Communications,Masters,Communications,McGill University
